52
35
17
29;12;1
29;12;2
29;12;3
29;12;4
29;12;5
29;12;6
29;12;7
29;12;8
29;13;1
29;13;2
29;13;3
29;13;4
29;13;5
29;13;6
29;13;7
29;13;8
29;14;1
29;14;2
29;14;3
29;14;4
29;14;5
29;14;6
29;14;7
29;14;8
29;15;1
29;15;2
29;15;3
29;15;4
29;15;5
29;15;6
29;15;7
29;15;8
29;16;1
29;16;2
29;16;3
29;16;4
29;16;5
29;16;6
29;16;7
29;16;8
30;12;1
30;12;2
30;12;3
30;12;4
30;12;5
30;12;6
30;12;7
30;12;8
30;13;1
30;13;2
30;13;3
30;13;4
30;13;5
30;13;6
30;13;7
30;13;8
30;14;1
30;14;2
30;14;3
30;14;4
30;14;5
30;14;6
30;14;7
30;14;8
30;15;1
30;15;2
30;15;3
30;15;4
30;15;5
30;15;6
30;15;7
30;15;8
30;16;1
30;16;2
30;16;3
30;16;4
30;16;5
30;16;6
30;16;7
30;16;8
31;12;1
31;12;2
31;12;3
31;12;4
31;12;5
31;12;6
31;12;7
31;12;8
31;13;1
31;13;2
31;13;3
31;13;4
31;13;5
31;13;6
31;13;7
31;13;8
31;14;1
31;14;2
31;14;3
31;14;4
31;14;5
31;14;6
31;14;7
31;14;8
31;15;1
31;15;2
31;15;3
31;15;4
31;15;5
31;15;6
31;15;7
31;15;8
31;16;1
31;16;2
31;16;3
31;16;4
31;16;5
31;16;6
31;16;7
31;16;8
32;12;1
32;12;2
32;12;3
32;12;4
32;12;5
32;12;6
32;12;7
32;12;8
32;13;1
32;13;2
32;13;3
32;13;4
32;13;5
32;13;6
32;13;7
32;13;8
32;14;1
32;14;2
32;14;3
32;14;4
32;14;5
32;14;6
32;14;7
32;14;8
32;15;1
32;15;2
32;15;3
32;15;4
32;15;5
32;15;6
32;15;7
32;15;8
32;16;1
32;16;2
32;16;3
32;16;4
32;16;5
32;16;6
32;16;7
32;16;8
33;12;1
33;12;2
33;12;3
33;12;4
33;12;5
33;12;6
33;12;7
33;12;8
33;13;1
33;13;2
33;13;3
33;13;4
33;13;5
33;13;6
33;13;7
33;13;8
33;14;1
33;14;2
33;14;3
33;14;4
33;14;5
33;14;6
33;14;7
33;14;8
33;15;1
33;15;2
33;15;3
33;15;4
33;15;5
33;15;6
33;15;7
33;15;8
33;16;1
33;16;2
33;16;3
33;16;4
33;16;5
33;16;6
33;16;7
33;16;8
20;18;1
20;18;2
20;18;3
20;18;4
20;18;5
20;18;6
20;18;7
20;18;8
20;19;1
20;19;2
20;19;3
20;19;4
20;19;5
20;19;6
20;19;7
20;19;8
20;20;1
20;20;2
20;20;3
20;20;4
20;20;5
20;20;6
20;20;7
20;20;8
20;21;1
20;21;2
20;21;3
20;21;4
20;21;5
20;21;6
20;21;7
20;21;8
20;22;1
20;22;2
20;22;3
20;22;4
20;22;5
20;22;6
20;22;7
20;22;8
21;18;1
21;18;2
21;18;3
21;18;4
21;18;5
21;18;6
21;18;7
21;18;8
21;19;1
21;19;2
21;19;3
21;19;4
21;19;5
21;19;6
21;19;7
21;19;8
21;20;1
21;20;2
21;20;3
21;20;4
21;20;5
21;20;6
21;20;7
21;20;8
21;21;1
21;21;2
21;21;3
21;21;4
21;21;5
21;21;6
21;21;7
21;21;8
21;22;1
21;22;2
21;22;3
21;22;4
21;22;5
21;22;6
21;22;7
21;22;8
22;18;1
22;18;2
22;18;3
22;18;4
22;18;5
22;18;6
22;18;7
22;18;8
22;19;1
22;19;2
22;19;3
22;19;4
22;19;5
22;19;6
22;19;7
22;19;8
22;20;1
22;20;2
22;20;3
22;20;4
22;20;5
22;20;6
22;20;7
22;20;8
22;21;1
22;21;2
22;21;3
22;21;4
22;21;5
22;21;6
22;21;7
22;21;8
22;22;1
22;22;2
22;22;3
22;22;4
22;22;5
22;22;6
22;22;7
22;22;8
23;18;1
23;18;2
23;18;3
23;18;4
23;18;5
23;18;6
23;18;7
23;18;8
23;19;1
23;19;2
23;19;3
23;19;4
23;19;5
23;19;6
23;19;7
23;19;8
23;20;1
23;20;2
23;20;3
23;20;4
23;20;5
23;20;6
23;20;7
23;20;8
23;21;1
23;21;2
23;21;3
23;21;4
23;21;5
23;21;6
23;21;7
23;21;8
23;22;1
23;22;2
23;22;3
23;22;4
23;22;5
23;22;6
23;22;7
23;22;8
24;18;1
24;18;2
24;18;3
24;18;4
24;18;5
24;18;6
24;18;7
24;18;8
24;19;1
24;19;2
24;19;3
24;19;4
24;19;5
24;19;6
24;19;7
24;19;8
24;20;1
24;20;2
24;20;3
24;20;4
24;20;5
24;20;6
24;20;7
24;20;8
24;21;1
24;21;2
24;21;3
24;21;4
24;21;5
24;21;6
24;21;7
24;21;8
24;22;1
24;22;2
24;22;3
24;22;4
24;22;5
24;22;6
24;22;7
24;22;8
